scholarship_name,deadline,degree,university_name,level,country
London South Bank University International Merit Scholarship in the UK,20 Nov 2020,"Engineering&Technology,Education",,,
University Of Nottingham - Postgraduate Scholarship 2020-21,16 Aug 2020,Humanities,,,
"University Of Leeds - Masters In Economics Scholarship, UK",,"Engineering&Technology,Computer Science & IT,Medical & Pharmacy,Religion & Ethics",,,
University Of Manchester - Faculty Of Science And Engineering Postgraduate Loyalty Bursary 2020-21,,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy,Education,Religion & Ethics,Tourism & Hospitality",,,
University Of Strathclyde - Biomedical Engineering International Excellence Award,31 Aug 2020,,,,
"University Of Bolton Masters Excellence Funding, 2020-21",30 Oct 2020,"Engineering&Technology,Education",,,
"Queen’s University Belfast Power Academy Funding In UK, 2020-21",21 Sep 2020,"Education,Religion & Ethics,Tourism & Hospitality",,,
"Postgraduate International Silver Award In UK, 2020",,"Engineering&Technology,Education",,,
"Postgraduate Taught Performance Sport Scholarship In UK, 2020",23 Aug 2020,,,,
"University Of Leeds - International Master’s Scholarship In UK, 2020-21",31 Oct 2020,Business & Management,,,
"Global Partner Funding At University Of Essex, 2020-21",18 Sep 2020,"Engineering&Technology,Education",,,
"Newcastle University - Business Excellence Scholarship In UK, 2020-21",,"Art & Design,Medical & Pharmacy,Short Courses",,,
College Of Science And Engineering Undergraduate Scholarship At University Of Leicester In UK,31 Dec 2020,,,,
"Vice Chancellor’s Global Development Scholarship At University Of Portsmouth In UK, 2020",,"Engineering&Technology,Education",,,
Undergraduate Merit Awards 2020 - Heriot-Watt University,,"Engineering&Technology,Education",,,
University Of Nottingham Beneficial Sports Scholarship For International Students,21 Aug 2020,"Engineering&Technology,Education",,,
University Of West Scotland - Winning Students Scholarships In UK 2020,30 Sep 2020,"Engineering&Technology,Education",,,
University Of Birmingham - International Excellence Scholarship 2020-21,,"Education,Religion & Ethics",,,
ECS Excellence Scholarship At University Of Southampton,31 Jul 2020,,,,
"University Of Manchester - Department Of Chemistry Entrance Funding, 2020-21",01 Oct 2020,"Engineering&Technology,Computer Science & IT",,,
"Liverpool John Moores University - 100 Academic Excellence International Awards, 2020",21 Sep 2020,"Engineering&Technology,Education",,,
Northumbria University St. Nicholas Funding In UK,28 Aug 2020,,,,
Rhodes Scholarships at Oxford University for International Students,,"Engineering&Technology,Education",,,
Women in Leadership Scholarship at University of Surrey,01 Nov 2020,"Art & Design,Engineering&Technology,Medical & Pharmacy",,,
Rhodes Global Scholarships,31 Jul 2020,,,,
Global Funding Program - University Of Aberdeen In UK,20 Jul 2020,,,,
Richard Davidson Postgraduate Scholarship In UK,25 Aug 2020,,,,
Global Leaders Scholarship - University Of Bath UK,17 Jul 2020,"Social Sciences,Humanities",,,
University Of Birmingham - International Excellence Scholarship 2020-21,,,,,
ECS Excellence Scholarship At University Of Southampton,31 Jul 2020,,,,
Dean’s Award For Academic Excellence Scholarships At University Of Bath,17 Jul 2020,"Social Sciences,Humanities",,,
University Of Southampton - Presidential Postgraduate Research Scholarship,31 Jul 2020,,,,
"Swansea University - Fully-Funded M2A MSC By Research Scholarship, 2020",19 Jul 2020,,,,
University Of Manchester - Faculty Of Science And Engineering Postgraduate Loyalty Bursary 2020-21,,,,,
Rhodes Scholarships University Of Oxford UK,,,,,
University Of Strathclyde - Biomedical Engineering International Excellence Award,31 Aug 2020,,,,
Richard Davidson Postgraduate Scholarship In UK,25 Aug 2020,,,,
Global Funding Program - University Of Aberdeen In UK,20 Jul 2020,,,,
Global Leaders Scholarship - University Of Bath UK,17 Jul 2020,"Social Sciences,Humanities",,,
University Of Northampton - Master's Scholarships 2020-21,,"Art & Design,Education",,,
International Dean’s Scholarships - Faculty Of Health And Applied Sciences,30 Jun 2020,Social Sciences,,,
University Of London Oradea Scholarships 2020-21,17 Jul 2020,Law,,,
"University Of Salford International Excellence Award, 2020",24 Jun 2020,,,,
Global Excellence Scholarships In UK 2020-21,30 Jun 2020,,,,
University Of Southampton - Presidential Postgraduate Research Scholarship,31 Jul 2020,,,,
Dean’s Award For Academic Excellence Scholarships At University Of Bath,17 Jul 2020,"Social Sciences,Humanities",,,
"Fully-Funded Global PhD Scholarship In Computer Science - UK, 2020",30 Jun 2020,,,,
Fully-Funded PhD Studentship In UK 2020-21,28 Jun 2020,,,,
ECS Excellence Scholarship At University Of Southampton,31 Jul 2020,,,,
University College London - Health In Urban Development Scholarship 2020-21,01 Jul 2020,,,,
University Of Nottingham - Postgraduate Scholarship 2020-21,16 Aug 2020,Humanities,,,
"U21’s Graduate Collaborative Research Awards for International Students, 2020",07 Aug 2020,,,,
Rhodes Global Scholarship,,,,,
International Excellence/Achievement Scholarship at University of Birmingham,,,,,
Biosciences: Fully Funded MSc by Research at Swansea: Assessing river barrier impacts,26 Jun 2020,,,,
Chemistry / Physics: Fully Funded European Research Council PhD Scholarship at Swansea University,02 Jul 2020,,,,
EU Academic Excellence Award Scholarship: Deadline September 2020,31 Aug 2020,,,,
Cambridge Trust Scholarship: Study in Cambridge University UK,15 Oct 2020,"Engineering&Technology,Education",,,
University of Dundee Scholarship UK 2021,,"Art & Design,Education,Law",,,
"UNICAF program for International Students, 2020",,Education,,,
Scotland’s Saltire Scholarships at University of Edinburgh,31 Jul 2020,,,,
Planning and Environmental Management Taught Masters Merit Award at University of Manchester,29 May 2020,,,,
"GIIDAE Empowering Change Scholarship in International Development, Agriculture and Economics",01 Jun 2020,,,,
Westminster International Postgraduate Full Scholarships,29 May 2020,"Art & Design,Business & Management,Architecture & Construction,Law,Accounting & Finance",,,
Recanati-Kaplan Foundation Scholarships for PgDip in International Wildlife Conservation Practice at the University of Oxford,19 Jun 2020,,,,
School of Economics Scholarships for MSc Development Economics at University of Kent,22 Jun 2020,,,,
Geoffrey Oldham Memorial Scholarships in Science Policy Research at University of Sussex,01 Jun 2020,,,,
UWE Chancellor’s Scholarships for International Students,30 Jun 2020,,,,
Dean’s Award for Academic Excellence Scholarships at University of Bath,17 Jul 2020,,,,
UAL/ISH International Postgraduate Scholarships,19 Jun 2020,,,,
Scotland’s Saltire Scholarships,31 Jul 2020,,,,
UNIVERSITY OF SUSSEX SCHOLARSHIPS 2020 IN UNITED KINGDOM,30 Sep 2020,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy,Education,Religion & Ethics,Social Sciences,Tourism & Hospitality,Others,Law",,,
"UNIVERSITY OF WESTMINSTER SCHOLARSHIP 2020 IN LONDON, UK [FULLY FUNDED]",29 May 2020,"Business & Management,Tourism & Hospitality,Law,Accounting & Finance,Media Studies ",,,
ADNOC Scholarship Program (UAE Students Only),,,,,
"Aerospace Engineering Fully-Funded EPSRC DTP PhD Positionsat Swansea University, 2020",31 May 2020,"Engineering&Technology,Business & Management",,,
Nottingham Law School LLM South Asia Scholarships in the UK,24 Jun 2020,,,,
"Merit funding for International Students at University of Central Lancashire, UK",,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Religion & Ethics,Social Sciences,Tourism & Hospitality,Test Preparation,Accounting & Finance",,,
"Baxendale scholarships for UK and EU Students at University College London, 2020",30 Jun 2020,,,,
"International Studentship Scheme at University of Hull in UK, 2020",,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy,Education,Social Sciences,Tourism & Hospitality,Accounting & Finance,Agriculture & Veterinary,Humanities",,,
Oxford Brookes University PhD Studentship in Computer Science for Cyber Security,17 Apr 2020,Engineering&Technology,,,
Northumbria University Sanctuary funding for International Students,29 May 2020,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy,Media Studies ,Agriculture & Veterinary,Humanities",,,
Aberystwyth University Abergrad funding for International Students in the UK,30 Jul 2020,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Education,Social Sciences,Humanities",,,
"Ten Greville Bloodworth Engineering Management Scholarships for International Students, UK",30 Apr 2020,Engineering&Technology,,,
"100 City Law School international awards for Academic Excellence in UK, 2020",19 Jun 2020,"Art & Design,Social Sciences,Law",,,
"MSc international awards in Traditional Arts Performance at University of Edinburgh, 2020",30 Apr 2020,Art & Design,,,
"Grocers’ Company Queen’s Golden Jubilee Scholarship at Imperial College London, UK",30 Apr 2020,Engineering&Technology,,,
"Jarvis Centenary Scholarship at University of Hertfordshire, UK",10 Apr 2020,"Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy,Education,Law",,,
"Covid-19 Hardship Fund for International Students at University of Strathclyde, UK",30 Sep 2020,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy,Education,Humanities",,,
"CLAHRC East Midland Studentship at University of Leicester in UK, 2020",01 May 2020,,,,
"Kent Business School Excellence funding for International Students in UK, 2020",30 Jun 2020,Business & Management,,,
"Fully funded PhD Studentship at University of Nottingham in UK, 2020",01 May 2020,"Computer Science & IT,Agriculture & Veterinary",,,
University of Law funding for International Students in the UK,,Law,,,
"International Doctoral Research Scholarship in Science and Technology at Sheffield Hallam University, UK",,Engineering&Technology,,,
Cardiff University Vice-Chancellor’s China Scholarship Scheme in the UK,,"Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy,Education,Social Sciences",,,
"Research Studentship in Knowledge Engineering at University of Oxford, UK",01 May 2020,Engineering&Technology,,,
"School of Global Affairs Masters Award for International Students in UK, 2020",31 Mar 2020,,,,
"University of Hull Merit Scholarship in the UK, 2020",,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy,Education,Accounting & Finance,Media Studies ,Agriculture & Veterinary",,,
"Fully funded PhD Studentship for UK &EU Students at University of Nottingham, 2020",31 Mar 2020,,,,
"100 Faculty of Science masters programmes for International Students at University of Strathclyde, UK",31 Jul 2020,,,,
"LJMU Regional Postgraduate funding for International Students, UK",03 May 2020,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy,Education,Religion & Ethics,Social Sciences",,,
"Dean’s International Excellence Scholarship at University of Leeds in UK, 2020",30 Apr 2020,"Engineering&Technology,Business & Management",,,
"One Young World Leading Asia Scholarship in the UK, 2020",08 Apr 2020,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy,Education,Social Sciences,Humanities",,,
"ULMS Indian Subcontinent Excellence Scholarship in UK, 2020",31 Jul 2020,"Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy,Education,Law,Humanities",,,
"Coventry University National Hero Award for Chinese Students, UK",,,,,
"University of Liverpool International College (UoLIC) Merit Scholarship in the UK, 2020",18 Apr 2020,"Social Sciences,Others,Applied & Pure Sciences,Humanities",,,
"International Student Scholarship at Heriot-Watt University, UK",31 Mar 2020,"Art & Design,Computer Science & IT,Social Sciences,Others",,,
Karen Napier Scholarship at University of Stirling,29 May 2020,Humanities,,,
MMU Vice-Chancellor International Scholarships,31 May 2020,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy,Law,Accounting & Finance,Media Studies ,Humanities",,,
"FDPS Scholarships at SOAS, University of London, UK",31 May 2020,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Education,Tourism & Hospitality,Law,Media Studies ,Humanities",,,
"Computer/Library and Information Science Scholarships for UK and EU Students, 2020",01 May 2020,"Business & Management,Computer Science & IT,Tourism & Hospitality,Accounting & Finance",,,
"The UON International Scholarship in the UK, 2020",31 Mar 2020,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy,Law,Humanities",,,
Saltire Scholarships Programme in UK/Scotland 2020,01 Jun 2020,"Engineering&Technology,Medical & Pharmacy",,,
NBS Open World Scholarship Program in UK,31 May 2020,Business & Management,,,
Scholarship at London School Hygiene and Tropical Medicine,29 Mar 2020,Medical & Pharmacy,,,
Imperial Women’s MBA Scholarship Programmes in UK,19 Jun 2020,Business & Management,,,
"International Studentship Scheme at University of Hull in UK, 2020",,"Art & Design,Engineering&Technology",,,
"Dean of Business & Management’s Excellence Scholarships at Regent’s University London, UK",31 May 2020,Business & Management,,,
"QMUL Fully Funded International B.A. Krukoff Fellowship in Systematics, 2020",,,,,
Sochon Foundation Scholarship for Postgraduate in Korean Studies,02 Apr 2020,,,,
"Fully funded PhD Studentship for International Students at Brighton and Sussex Medical School, UK",30 Apr 2020,,,,
"International Sports program at Brunel University in UK, 2020",31 Jul 2020,,,,
"Vietnam Award at University of Stirling in UK, 2020",30 Jun 2020,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy,Education,Religion & Ethics,Social Sciences,Humanities",,,
"Chancellor’s International Business Scholarship at University of Sussex in the UK, 2020",01 May 2020,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Education,Religion & Ethics,Social Sciences,Tourism & Hospitality,Test Preparation,Others,Accounting & Finance",,,
"Postgraduate India Scholarship at University of Stirling, UK",,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy,Education,Social Sciences",,,
"East Asia Postgraduate Excellence Award at University of Nottingham, UK",31 Jan 2020,Engineering&Technology,,,
"School of Anthropology and Conservation International Undergraduate Scholarship, UK",20 May 2020,,,,
"LSE Kadas Family Charitable Foundation funding for International Students in UK, 2020",27 Apr 2020,"Engineering&Technology,Business & Management,Education,Religion & Ethics",,,
"Two Fully-Funded PhD Position In Economics for International Students at University of Leeds, UK",08 Mar 2020,,,,
"School of Divinity International Postgraduate masters programmes in UK, 2020",06 Apr 2020,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy,Education,Religion & Ethics,Social Sciences,Tourism & Hospitality,Humanities",,,
"MSc Scholarship at South African Medical Research Council, 2020",12 Feb 2020,"Engineering&Technology,Business & Management,Medical & Pharmacy,Media Studies ",,,
"LSE-SAWIRIS program for Egyptian Students, UK",28 Feb 2020,,,,
"Snowdon Trust Leeds Scholarships for UK and EU Students, 2020",01 May 2020,"Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy,Education,Law,Accounting & Finance,Media Studies ,Agriculture & Veterinary,Humanities",,,
"PhD (Via Phil) Studentship for International Students at University of Central Lancashire, UK",07 Feb 2020,,,,
"PhD Studentship in 6G Heterogeneous Networks for UK, EU and International Students, 2020",31 Jan 2020,,,,
The Worshipful Company of Shipwrights funding for International Students in the UK,31 Jan 2020,Humanities,,,
"Ahmet Ertegun Memorial funding for Turkish Students at University of Oxford, UK",12 Feb 2020,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Education,Social Sciences,Tourism & Hospitality,Applied & Pure Sciences,Architecture & Construction,Law,Accounting & Finance,Media Studies ,Agriculture & Veterinary,Humanities",,,
"University of Central Lancashire EU Scholarships in UK, 2020",,"Art & Design,Engineering&Technology,Business & Management,Law",,,
"Aziz Foundation Masters funding for UK & EU Students at the University of Oxford, 2020",31 Mar 2020,,,,
"NCUK Merit funding for International Students at University of Sheffield, 2020",04 May 2020,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy,Education,Religion & Ethics,Social Sciences,Architecture & Construction,Law,Accounting & Finance,Media Studies ,Agriculture & Veterinary,Humanities",,,
"Palgrave Brown UK Scholarship at University of Oxford, 2020",12 Feb 2020,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy,Education,Religion & Ethics,Social Sciences,Applied & Pure Sciences,Architecture & Construction,Law,Accounting & Finance,Media Studies ,Agriculture & Veterinary,Humanities",,,
Uclan Asia Pacific Institutes funding for International Students in the UK,16 Feb 2020,"Media Studies ,Humanities",,,
"CDT in Prosthetics and Orthotics International Funding at University of Strathclyde, 2020",14 Feb 2020,Engineering&Technology,,,
Jesus College Scholarships for Postgraduate Applicants,24 Mar 2020,"Engineering&Technology,Social Sciences,Humanities",,,
Fully-funded PhD funding for Domestic & International Students at Northumbria University in UK,24 Jan 2020,"Business & Management,Agriculture & Veterinary",,,
"School of Psychology Fully-Funded PhD Opportunity at Queen’s University Belfast, UK 2020-21",31 Jan 2020,Social Sciences,,,
World-Leading St Andrews Scholarship in Earth Sciences and Chemistry,16 Jan 2020,,,,
JACK & JONES Scholarship Program,10 Jan 2020,"Business & Management,Computer Science & IT,Accounting & Finance",,,
"V P Kanitkar Memorial Scholarships for International Students at SOAS University of London, UK",02 Apr 2020,Religion & Ethics,,,
"MSc Marine Vertebrate Ecology and Conservation Scholarship in the UK, 2020",30 Apr 2020,,,,
 Your Company Formations Business Scholarship,28 Aug 2020,"Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy,Education",,,
Harding Distinguished Postgraduate Scholars Programme for International Students in the UK,07 Jan 2020,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy,Education,Religion & Ethics,Social Sciences,Law,Accounting & Finance,Humanities",,,
"CHASE AHRC Studentship Scheme for UK & EU Students at University of Sussex, 2020",13 Jan 2020,,,,
NUAcT PhD Studentship in Geographies of the former Yugoslavia for International Students in the UK,21 Feb 2020,"Art & Design,Business & Management,Education,Religion & Ethics,Tourism & Hospitality,Short Courses",,,
"Medical Bursaries and Surgical Scholarships in the UK, 2020",01 May 2020,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy,Education,Religion & Ethics,Social Sciences",,,
Theodor Heuss Research Fellowship in Germany,31 Jan 2020,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy,Education,Religion & Ethics,Social Sciences,Humanities",,,
"Boustany PhD Astronomy Scholarship at Cambridge University, UK",28 Feb 2020,,,,
Manchester University’s President’s Doctoral Scholar Awards,,"Engineering&Technology,Humanities",,,
The School of Arts and Social Sciences 8 PhD Studentships for Domestic & International in UK,19 Jan 2020,"Art & Design,Social Sciences,Media Studies ",,,
"Doctor Shakuntala Gokhale Award for International Students at University of Bath, 2020",15 Jan 2020,"Business & Management,Computer Science & IT,Education,Social Sciences,Architecture & Construction,Accounting & Finance",,,
PhD Studentship for UK & EU Students at Oxford Brookes University in UK,31 Dec 2019,"Engineering&Technology,Business & Management,Social Sciences,Tourism & Hospitality",,,
"School of Law International postgraduate placements at Queen Mary University of London, UK",10 Jan 2020,Law,,,
Fast-Forward Master’s Scholarship at the University of Greenwich in the UK,,"Art & Design,Business & Management,Computer Science & IT,Architecture & Construction,Accounting & Finance",,,
Polish School of Medicine Memorial Fund Scholarships at University of Edinburgh in UK,28 May 2020,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy,Education,Religion & Ethics,Social Sciences,Law,Accounting & Finance,Media Studies ,Agriculture & Veterinary,Humanities",,,
Care Leaver Bursary at the University of Greenwich in UK,28 Feb 2020,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Architecture & Construction,Law,Accounting & Finance",,,
"International Baccalaureate Scholarship at University of Sheffield in UK, 2020",04 May 2020,"Engineering&Technology,Computer Science & IT,Architecture & Construction,Accounting & Finance",,,
King’s China Council 100 PhD Positions for Chinese Graduates in the UK,05 Jan 2020,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy,Education,Social Sciences",,,
"Architecture International Excellence Scholarship at the University of Salford, UK",,Architecture & Construction,,,
Edesia PhD Studentship Programme in Science for Domestic and international awards at University of East Anglia,13 Jan 2020,,,,
"International Future Leaders award in the UK, 2020",26 Mar 2020,"Business & Management,Computer Science & IT,Social Sciences,Law,Media Studies ",,,
"Energy Industries International Excellence Scholarship at University of Salford, UK",,,,,
Bar funding for Domestic & International Students at Northumbria University,14 Feb 2020,"Art & Design,Business & Management,Computer Science & IT,Architecture & Construction",,,
"Raise Micro-programme for the US Students at Northumbria University, UK",15 Jan 2020,"Art & Design,Computer Science & IT,Social Sciences,Applied & Pure Sciences,Architecture & Construction,Law,Humanities",,,
College of Science and Engineering Undergraduate Scholarship at University of Leicester in UK,15 Jan 2020,"Computer Science & IT,Medical & Pharmacy,Law,Accounting & Finance",,,
"School of Social and Political Science Macqueen Scholarship at University of Edinburgh in UK, 2020",03 Feb 2020,Social Sciences,,,
"CHASE AHRC Studentships for UK and EU students at University of Kent, 2020",10 Jan 2020,"Art & Design,Humanities",,,
  Fully-funded PhD Studentship in Mechanics of Composite Materials for Energy Storage in UK,06 Jan 2020,,,,
"Leadership funding for International Students at University of Derby, UK",15 Jan 2020,Business & Management,,,
"Fully-Funded Rothamsted / Swansea PhD Studentship in UK, 2019",02 Dec 2019,,,,
"Your Company Formations Business funding for International Students, 2020",28 Aug 2020,Business & Management,,,
"CSC Shared funding for Commonwealth Country Students at University of Lincoln, UK",18 Dec 2019,,,,
Monica Cole Research Grant Program in Physical Geography,18 Jan 2020,,,,
"Collection of Small Endowed Awards at University of Leeds in UK, 2020",01 May 2020,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy,Education,Religion & Ethics,Law",,,
"Simon and June Li Undergraduate International Scholarship at University of Oxford, 2020",31 Jan 2020,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy,Education,Religion & Ethics,Social Sciences,Tourism & Hospitality,Short Courses,Test Preparation,Others,Law,Accounting & Finance,Media Studies ",,,
Scholarships for New International Undergraduate and Master’s Students at the University Of Huddersfield,15 Jan 2020,"Art & Design,Business & Management,Architecture & Construction,Accounting & Finance,Media Studies ",,,
Oxford-Radcliffe Graduate Scholarships in UK,20 Jan 2020,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy,Education,Religion & Ethics",,,
Oxford-Ko Cheuk Hung Full Graduate Scholarship,20 Jan 2020,"Engineering&Technology,Computer Science & IT,Education,Religion & Ethics,Law",,,
"Justin Arbuthnott PhD funding for International Students at University of Edinburgh, 2020",01 May 2020,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy",,,
"Gen Foundation Grant for International Students in UK, 2020",28 Feb 2020,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy,Education",,,
Department of Automatic Control and Systems Engineering PhD funding for International Students in UK,10 Feb 2020,Engineering&Technology,,,
Masters in Finance International Excellence Scholarships at University of Leeds in UK,23 Dec 2019,Accounting & Finance,,,
"CSC Shared funding for Commonwealth Country Students at Goldsmiths, University of London, UK",18 Dec 2019,"Engineering&Technology,Medical & Pharmacy,Religion & Ethics,Social Sciences,Tourism & Hospitality,Media Studies ",,,
"Literature, Languages and Cultures masters programmes for International Students in UK, 2020",01 May 2020,,,,
Riley Family MBA Scholarship in UK,25 Jan 2020,Business & Management,,,
Wellcome Trust 4 Year PhD Studentship for International Students at University of Leicester,05 Dec 2019,,,,
"Commonwealth Shared Scholarships at the City University of London, UK",18 Dec 2019,,,,
"CSM Trust Mining Scholarships for International Students at University of Exeter in UK, 2020",31 May 2020,,,,
Mathematics Department Research Studentship for Domestic & International Students at King’s College London in the UK,01 Feb 2020,,,,
"Allan and Nesta Ferguson Charitable Trust Scholarships at University of Leeds in UK, 2020",03 Feb 2020,"Engineering&Technology,Social Sciences",,,
"College Research Student Awards at University of Edinburgh in UK, 2020",03 Feb 2020,"Art & Design,Social Sciences,Humanities",,,
"Great Scholarships-East Asia for Chinese Students at St. Mary’s University, UK",31 Dec 2019,,,,
"Aberystwyth University AberDoc PhD funding for Home & International Students, 2020",31 Jan 2020,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Law,Accounting & Finance,Agriculture & Veterinary",,,
"Early Payment Scholarship at the University of Huddersfield, 2020",27 Nov 2019,"Art & Design,Engineering&Technology,Business & Management",,,
"RNCM Junior Fellowship for Conducting Studies, UK",31 Dec 2019,,,,
"Dean’s International Freshman Scholarship at West Virginia University, USA",01 Feb 2020,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy,Education,Social Sciences,Humanities",,,
"China Scholarship Council at the University of Warwick, 2020",16 Jan 2020,"Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy,Humanities",,,
"The Mastercard Foundation Scholars Program at the University of Edinburgh, 2020",29 Nov 2019,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy,Education,Religion & Ethics,Social Sciences,Agriculture & Veterinary,Humanities",,,
"Warwick Alumni MSc Program Scholarship, 2020",31 Jul 2020,"Engineering&Technology,Business & Management",,,
"Cathie Wallace Bursary for International Students at University of West London in UK, 2019",31 Oct 2019,"Art & Design,Engineering&Technology,Business & Management,Medical & Pharmacy,Education,Religion & Ethics,Social Sciences,Tourism & Hospitality,Architecture & Construction,Accounting & Finance,Media Studies ",,,
"The Atul Pathak funding for Home, EU & International Students in UK, 2019",31 Oct 2019,"Business & Management,Tourism & Hospitality,Law",,,
"International awards at the University of South Wales in the UK, 2020",06 Jan 2020,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy,Education,Religion & Ethics,Social Sciences,Humanities",,,
"Marriott Family Future Leaders International Scholarship in Management for the UK/EU Students, 2020",26 Mar 2020,Business & Management,,,
JACK & JONES funding for International Students,10 Jan 2020,Business & Management,,,
"International awards at Oxford Brookes University in the UK, 2020                ",15 Apr 2020,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Education,Religion & Ethics,Social Sciences,Tourism & Hospitality,Architecture & Construction,Law",,,
"PhD Studentship in Biology & Ecology of Asia at University of Cambridge in UK, 2020",,"Engineering&Technology,Education",,,
"Tetley & Lupton international awards at the University of Leeds in the UK, 2020",03 Feb 2020,"Art & Design,Engineering&Technology,Business & Management,Education,Social Sciences,Law",,,
"Chevening Partner Award for Economics at Queen Mary University of London, 2019",05 Nov 2019,,,,
"George McElveen International Scholarship at the University of St Andrews in the UK, 2020",18 Mar 2020,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy,Education,Religion & Ethics,Social Sciences,Tourism & Hospitality,Agriculture & Veterinary",,,
Fully Funded Rhodes Scholarship at the University of Oxford,31 Oct 2019,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy,Education,Religion & Ethics,Social Sciences,Architecture & Construction,Law,Media Studies ,Agriculture & Veterinary,Humanities",,,
"University of Cambridge CTR Next Generation Fellowship for UK, EU and Overseas Graduates",16 Dec 2019,,,,
"Reading School of Pharmacy International PhD Bursaries in UK, 2020",,Medical & Pharmacy,,,
Oxford Pershing Square Graduate Scholarships,31 Jan 2020,Business & Management,,,
Sir Emrys Jones Memorial Trust Scholarships,31 May 2020,Agriculture & Veterinary,,,
"International awards at Bangor University in the UK, 2020",30 Jun 2020,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy,Education,Religion & Ethics,Social Sciences",,,
Oxford-Weidenfeld and Hoffmann Scholarship and Leadership Programme,24 Jan 2020,Agriculture & Veterinary,,,
Friends of Mary Seacole Scholarship at West London University,31 Oct 2019,,,,
Warwick Chancellor’s International Scholarships,16 Jan 2020,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Religion & Ethics,Social Sciences,Humanities",,,
University of Derby International Regional High Achievers Scholarship in the UK 2020-2021,12 Jan 2020,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Education,Religion & Ethics,Social Sciences,Tourism & Hospitality,Agriculture & Veterinary,Humanities",,,
Transport Masters International Excellence Scholarship in the UK 2020-2021,29 May 2020,,,,
"MORSE Scholarship at Lancaster University, UK",14 Feb 2020,,,,
International Undergraduate Scholarship at University of Stirling 2020-2021,30 Sep 2019,"Art & Design,Engineering&Technology,Business & Management,Computer Science & IT,Medical & Pharmacy,Education,Religion & Ethics,Social Sciences,Tourism & Hospitality,Accounting & Finance,Agriculture & Veterinary",,,
